_id,year,title,gross_box_office,max_theater,open_theater,open_week,opening,Distributor,Domestic
66134b3eab14b5df5ef920a4,2007,The Hitcher,"$481,417 ",107,107,8-Mar,"$176,394 ","[ ""Icon Film Distribution"" ]",AU
66134b3eab14b5df5ef920a5,2006,Dave Chappelle's Block Party,"$222,799 ",13,12,4-May,"$71,835 ","[ ""Hopscotch Films"" ]",AU
66134b3eab14b5df5ef920a6,2001,Hedwig and the Angry Inch,"$23,073 ",9,-,1-Nov,-,null,AU
66134b3eab14b5df5ef920a7,2002,Shallow Hal,"$4,705,964 ",177,-,1-Jan,-,null,AU
66134b3eab14b5df5ef920a8,2007,Employee of the Month,"$465,018 ",143,143,8-Feb,"$247,045 ","[ ""Hoyts Distribution"" ]",AU
66134b3eab14b5df5ef920a9,2009,Terminator Salvation,"$11,960,230 ",386,386,4-Jun,"$5,150,025 ","[ ""Sony Pictures Releasing"" ]",AU
66134b3eab14b5df5ef920aa,2006,The Cave of the Yellow Dog,"$208,831 ",-,-,5-Oct,-,null,AU
66134b3eab14b5df5ef920ab,2002,Gosford Park,"$4,545,780 ",68,-,14-Mar,-,null,AU
66134b3eab14b5df5ef920ac,2007,Conversations with My Gardener,"$464,056 ",17,17,8-Nov,"$62,245 ","[ ""Rialto Distribution"" ]",AU
66134b3eab14b5df5ef920ad,2009,Brüno,"$11,651,106 ",335,334,9-Jul,"$4,561,742 ","[ ""Universal Pictures International (UPI)"" ]",AU
66134b3eab14b5df5ef920ae,2001,The Anniversary Party,"$19,696 ",12,12,18-Oct,"$19,696 ",null,AU
66134b3eab14b5df5ef920af,2006,Color Me Kubrick,"$208,376 ",24,-,8-Jun,-,"[ ""Hoyts Distribution"" ]",AU
66134b3eab14b5df5ef920b0,2007,Letters from Iwo Jima,"$458,614 ",24,24,22-Feb,"$105,883 ","[ ""Warner Bros."" ]",AU
66134b3eab14b5df5ef920b1,2009,Gran Torino,"$11,524,910 ",209,150,22-Jan,"$1,255,775 ","[ ""Roadshow Films"" ]",AU
66134b3eab14b5df5ef920b2,2006,Roving Mars,"$206,847 ",-,-,30-Mar,-,null,AU
66134b3eab14b5df5ef920b3,2001,Dr. T & the Women,"$19,277 ",25,25,8-Mar,"$19,277 ",null,AU
